loan_amnt,term,int_rate,credit,emp_length,home_ownership,annual_inc,dti,bad_loans
7200, 36 months,9.91,5,11,MORTGAGE,170000.0,5.6,0
15000, 36 months,6.03,6,2,RENT,37200.0,14.71,0
15600, 36 months,17.27,3,11,MORTGAGE,87000.0,7.78,1
6000, 36 months,10.59,5,11,MORTGAGE,130000.0,18.75,0
12375, 36 months,11.99,5,1,MORTGAGE,36000.0,24.13,0
24000, 36 months,18.55,3,0,MORTGAGE,75000.0,10.0,1
17500, 60 months,24.89,1,2,RENT,40000.0,29.61,1
8000, 36 months,14.33,4,11,RENT,65000.0,19.64,1
10000, 60 months,12.23,4,0,OWN,24000.0,2.5,1
32400, 60 months,22.85,0,4,OWN,63000.0,14.11,1
3500, 36 months,20.31,3,11,MORTGAGE,120000.0,26.28,1
12000, 60 months,19.69,2,5,RENT,40512.0,16.23,1
3000, 36 months,5.42,6,1,RENT,25000.0,16.94,0
15000, 60 months,16.49,3,8,RENT,135000.0,9.78,1
10000, 36 months,8.94,6,1,MORTGAGE,86807.0,13.34,1
30000, 60 months,21.48,2,3,RENT,73200.0,24.05,1
3200, 36 months,12.99,4,0,RENT,39000.0,17.48,1
8000, 36 months,19.22,3,11,RENT,72000.0,21.87,1
25450, 60 months,17.58,3,1,RENT,57000.0,24.4,1
2800, 36 months,10.65,5,3,MORTGAGE,90000.0,18.83,0
4800, 36 months,5.99,6,4,MORTGAGE,120000.0,8.08,0
20000, 36 months,16.2,4,11,RENT,48600.0,24.4,1
15000, 36 months,14.79,4,6,RENT,65000.0,11.96,1
8400, 36 months,15.99,3,11,MORTGAGE,120000.0,5.06,1
12500, 60 months,18.64,2,11,MORTGAGE,80000.0,16.77,0
23000, 36 months,11.71,5,4,RENT,56544.0,19.86,0
10000, 36 months,9.99,5,7,MORTGAGE,45000.0,5.33,0
25000, 60 months,16.78,4,6,MORTGAGE,93000.0,19.01,1
2500, 36 months,5.99,6,3,MORTGAGE,65000.0,15.12,0
35000, 60 months,20.25,1,11,RENT,92000.0,17.6,1
9425, 36 months,13.49,4,9,RENT,45000.0,15.71,0
12000, 36 months,19.03,2,4,RENT,62200.0,12.39,0
30000, 36 months,18.39,2,2,MORTGAGE,116000.0,12.04,1
12000, 60 months,10.59,5,11,OWN,40584.0,14.67,0
4000, 36 months,13.49,4,5,RENT,30000.0,4.84,0
10000, 36 months,7.51,6,8,RENT,79000.0,2.81,0
6000, 36 months,15.99,3,3,RENT,30000.0,12.32,0
10000, 36 months,12.42,5,11,MORTGAGE,115000.0,11.42,0
5000, 36 months,12.41,4,6,MORTGAGE,88000.0,23.88,1
15000, 60 months,21.67,1,3,OWN,33000.0,14.36,1
12000, 60 months,17.27,3,6,MORTGAGE,65000.0,13.79,0
13000, 36 months,11.48,5,3,RENT,45000.0,6.0,1
6000, 36 months,9.91,5,1,MORTGAGE,90000.0,21.64,0
6800, 36 months,10.65,5,6,MORTGAGE,122400.0,24.02,0
35000, 60 months,18.39,2,11,MORTGAGE,104000.0,18.44,0
9600, 36 months,13.53,5,5,MORTGAGE,76700.0,24.35,1
3000, 36 months,11.55,5,8,RENT,45000.0,17.65,1
12000, 36 months,16.77,3,8,MORTGAGE,60000.0,0.52,0
13475, 60 months,25.83,0,7,RENT,52000.0,5.59,1
16800, 36 months,14.65,4,3,RENT,60000.0,14.52,0
15000, 60 months,20.31,3,8,RENT,56000.0,33.06,1
6250, 36 months,7.14,6,8,MORTGAGE,43000.0,12.89,1
5500, 36 months,8.49,6,0,MORTGAGE,36780.0,16.54,1
8400, 36 months,10.75,5,9,MORTGAGE,70000.0,18.55,1
5000, 36 months,8.49,6,11,MORTGAGE,62500.0,13.31,0
6800, 36 months,6.54,6,1,RENT,54000.0,16.04,1
35000, 60 months,11.71,5,11,MORTGAGE,110000.0,1.06,1
30000, 60 months,21.6,2,7,OWN,70000.0,27.07,1
13475, 36 months,14.26,4,2,RENT,35000.0,22.11,1
10000, 36 months,11.49,5,4,MORTGAGE,60000.0,13.46,1
21475, 60 months,22.9,2,1,RENT,50000.0,23.14,1
7000, 36 months,11.34,4,11,MORTGAGE,90900.0,11.93,1
2500, 36 months,15.27,4,7,RENT,40000.0,15.27,0
9600, 60 months,12.99,4,11,RENT,38000.0,21.09,1
8000, 36 months,11.49,5,11,MORTGAGE,65000.0,16.65,0
6000, 60 months,16.69,2,3,OWN,24000.0,9.1,1
21000, 36 months,16.29,3,3,RENT,63500.0,19.79,0
15000, 36 months,14.74,3,11,MORTGAGE,65004.0,22.1,1
4650, 36 months,6.62,6,2,OWN,37000.0,9.54,0
28000, 60 months,24.89,0,7,MORTGAGE,120000.0,11.64,1
15000, 36 months,7.9,6,7,MORTGAGE,158000.0,22.07,0
20000, 60 months,15.62,3,4,MORTGAGE,80000.0,4.32,0
22000, 36 months,11.48,5,9,RENT,89650.0,0.56,1
32000, 60 months,12.42,5,11,OWN,62400.0,7.38,0
35000, 60 months,25.28,1,11,RENT,125000.0,13.2,1
12000, 36 months,9.91,5,10,RENT,50600.0,18.43,0
4500, 36 months,7.49,6,0,RENT,18000.0,4.0,0
4800, 36 months,11.71,5,11,OWN,105000.0,14.18,0
2000, 36 months,13.61,4,5,RENT,50004.0,12.0,1
10000, 36 months,9.25,6,11,RENT,80000.0,16.07,1
18000, 36 months,14.84,3,8,MORTGAGE,78000.0,18.6,1
9000, 36 months,15.27,4,11,MORTGAGE,68000.0,3.41,0
9000, 36 months,5.99,6,8,OWN,69000.0,26.31,0
2850, 36 months,11.83,5,6,OWN,24000.0,24.7,1
8400, 60 months,18.25,3,1,OWN,45600.0,19.34,1
18000, 60 months,10.65,5,11,RENT,83004.0,9.44,0
7000, 36 months,5.99,6,7,RENT,52000.0,10.68,0
12000, 60 months,13.43,4,3,MORTGAGE,75000.0,3.28,1
3000, 36 months,12.42,5,9,RENT,41000.0,11.5,0
10000, 36 months,7.49,6,1,RENT,90000.0,8.95,0
7200, 36 months,10.59,5,4,MORTGAGE,35000.0,26.4,0
14000, 36 months,12.42,5,10,MORTGAGE,72000.0,19.8,0
5825, 36 months,6.62,6,1,RENT,12000.0,11.0,0
4000, 36 months,12.69,5,2,RENT,40000.0,5.67,0
7000, 36 months,6.03,6,5,RENT,60000.0,10.38,0
8875, 36 months,15.88,4,5,RENT,27000.0,21.91,1
16500, 36 months,7.9,6,5,RENT,47000.0,14.73,0
18000, 60 months,15.99,3,4,RENT,105144.0,23.27,0
4200, 36 months,5.42,6,9,MORTGAGE,75000.0,4.13,0
16000, 36 months,19.52,3,8,MORTGAGE,100000.0,21.2,1
25000, 36 months,11.83,5,11,MORTGAGE,235800.0,2.51,1
12000, 36 months,5.42,6,9,OWN,50000.0,6.43,0
20400, 60 months,15.99,3,4,MORTGAGE,160680.0,5.35,0
7200, 36 months,24.08,1,11,RENT,20000.0,20.26,1
35000, 36 months,9.99,5,5,MORTGAGE,85000.0,4.04,0
35000, 36 months,15.62,3,11,MORTGAGE,225000.0,7.26,0
2400, 60 months,16.4,2,1,RENT,14004.0,6.86,1
3000, 60 months,12.42,5,2,OWN,76116.0,9.98,0
20125, 36 months,13.67,5,9,MORTGAGE,70000.0,18.84,1
2100, 36 months,7.49,6,11,RENT,80000.0,13.41,0
18725, 36 months,6.54,6,1,RENT,36500.0,15.32,1
7000, 36 months,10.65,5,6,RENT,36000.0,18.6,0
35000, 36 months,8.9,6,9,MORTGAGE,128000.0,7.54,0
6000, 36 months,15.23,4,11,MORTGAGE,60000.0,16.55,1
12000, 36 months,16.49,3,10,RENT,60500.0,13.84,0
9000, 36 months,12.53,4,3,MORTGAGE,91992.0,20.3,1
15000, 36 months,7.9,6,8,RENT,47000.0,17.36,0
14400, 60 months,13.99,4,3,RENT,76422.0,14.22,0
5600, 60 months,13.98,4,6,MORTGAGE,107000.0,9.23,1
19400, 60 months,20.3,2,11,RENT,65000.0,4.69,1
4200, 36 months,11.71,5,9,RENT,72500.0,15.97,0
12000, 36 months,12.99,4,1,MORTGAGE,48000.0,17.88,0
10000, 36 months,10.65,5,3,RENT,108000.0,4.87,0
10000, 36 months,10.65,5,11,RENT,44000.0,18.22,0
5000, 36 months,14.74,3,3,RENT,57000.0,9.81,1
3250, 36 months,6.39,6,11,MORTGAGE,36000.0,14.07,1
8600, 36 months,6.03,6,8,MORTGAGE,53724.0,13.89,0
6000, 36 months,7.51,6,4,MORTGAGE,38000.0,18.57,0
9800, 36 months,21.28,1,4,MORTGAGE,110400.0,24.2,0
25000, 60 months,25.28,1,11,MORTGAGE,61000.0,28.94,1
25000, 60 months,22.4,2,5,RENT,102000.0,17.19,1
13800, 36 months,13.49,4,11,MORTGAGE,48000.0,6.6,0
5000, 36 months,13.49,4,5,OWN,36000.0,14.33,1
6000, 36 months,9.99,5,1,RENT,70000.0,4.22,0
15000, 36 months,15.65,3,1,MORTGAGE,160000.0,3.41,1
5000, 36 months,10.59,5,6,RENT,52000.0,10.34,0
12000, 60 months,13.49,4,11,MORTGAGE,130000.0,9.88,0
20000, 36 months,11.49,5,11,MORTGAGE,70000.0,12.33,0
8000, 36 months,16.29,3,5,RENT,19200.0,9.5,1
21000, 60 months,12.35,5,7,MORTGAGE,49140.0,18.32,1
3600, 36 months,5.99,6,6,MORTGAGE,50000.0,13.25,0
20000, 60 months,15.23,4,5,MORTGAGE,42000.0,18.51,0
9450, 36 months,16.77,3,2,RENT,26000.0,14.08,0
5000, 36 months,7.49,6,1,RENT,72000.0,22.77,0
16800, 60 months,20.2,3,4,MORTGAGE,100000.0,25.35,1
15000, 60 months,14.17,4,8,OWN,62000.0,1.55,1
4400, 36 months,12.42,5,6,RENT,24000.0,19.0,0
9600, 60 months,16.45,2,9,MORTGAGE,162000.0,12.12,1
11500, 60 months,22.7,2,1,MORTGAGE,60000.0,16.82,1
9750, 36 months,16.2,4,11,MORTGAGE,43740.0,31.93,1
18000, 36 months,7.9,6,11,MORTGAGE,80000.0,15.0,1
1450, 60 months,12.23,4,4,RENT,24000.0,3.6,1
6000, 36 months,12.42,5,8,MORTGAGE,39996.0,18.84,0
35000, 60 months,22.7,2,3,MORTGAGE,96000.0,22.11,1
18000, 36 months,11.49,5,10,MORTGAGE,63000.0,7.5,0
30000, 36 months,19.42,2,7,MORTGAGE,90000.0,7.95,0
9500, 36 months,16.49,3,5,RENT,75000.0,13.25,0
3600, 60 months,18.25,3,2,RENT,32000.0,17.25,1
7200, 36 months,17.56,3,8,RENT,55000.0,13.29,1
25000, 60 months,15.61,4,1,MORTGAGE,97000.0,29.35,1
35000, 60 months,20.25,1,5,MORTGAGE,275000.0,17.39,0
18000, 36 months,14.65,4,11,RENT,52000.0,21.37,0
10000, 36 months,7.9,6,3,RENT,72500.0,27.92,0
25000, 60 months,13.35,4,1,MORTGAGE,50000.0,6.02,1
10000, 36 months,12.42,5,4,RENT,65000.0,19.86,0
5375, 36 months,18.25,3,4,MORTGAGE,30000.0,11.44,1
22000, 60 months,21.64,0,1,RENT,105000.0,1.11,1
18000, 60 months,17.99,2,4,MORTGAGE,71500.0,5.15,1
19400, 60 months,20.89,1,7,MORTGAGE,70000.0,18.19,1
15000, 36 months,9.76,5,1,MORTGAGE,55000.0,15.1,1
8875, 36 months,12.35,5,7,MORTGAGE,45000.0,29.44,1
8000, 36 months,13.99,4,4,OWN,150000.0,7.12,0
12800, 36 months,15.22,4,11,RENT,42000.0,16.03,1
15000, 36 months,12.69,5,4,MORTGAGE,73000.0,15.45,0
5000, 36 months,12.69,5,11,RENT,43200.0,9.39,0
5000, 36 months,12.73,4,11,RENT,51000.0,1.53,1
5000, 36 months,12.42,5,6,RENT,40000.0,7.35,0
7500, 36 months,11.71,5,11,MORTGAGE,80000.0,12.12,0
12325, 36 months,8.49,6,11,MORTGAGE,140000.0,6.54,1
29175, 60 months,20.31,3,6,RENT,65000.0,15.78,1
9600, 36 months,7.9,6,3,OWN,38000.0,3.35,0
3600, 36 months,10.99,5,11,RENT,54000.0,21.02,1
13800, 60 months,22.06,1,4,RENT,48000.0,21.45,0
6000, 36 months,12.42,5,5,RENT,92000.0,10.6,0
10000, 36 months,8.9,6,4,RENT,30000.0,11.8,0
5775, 36 months,9.63,6,2,RENT,36900.0,7.15,1
8000, 36 months,14.96,3,5,RENT,62400.0,4.5,1
5800, 60 months,17.27,3,7,MORTGAGE,51000.0,23.25,0
5000, 36 months,12.84,4,5,OTHER,30000.0,13.8,1
11200, 36 months,12.42,5,11,MORTGAGE,71000.0,14.54,0
20000, 60 months,16.49,3,11,MORTGAGE,60000.0,16.16,1
4000, 60 months,19.91,2,11,RENT,45000.0,15.2,1
15000, 36 months,6.03,6,8,RENT,60000.0,12.78,0
35000, 36 months,15.23,4,5,RENT,65500.0,17.15,0
12250, 36 months,11.36,5,3,MORTGAGE,31000.0,19.86,1
3275, 36 months,5.42,6,11,MORTGAGE,100000.0,24.88,0
16000, 36 months,8.49,6,7,RENT,65000.0,10.3,0
3500, 36 months,9.91,5,0,MORTGAGE,42000.0,23.2,0
5600, 36 months,14.46,3,2,RENT,30000.0,16.36,1
11000, 36 months,8.59,6,11,RENT,21000.0,16.46,1
7100, 36 months,14.65,4,2,RENT,33000.0,23.85,1
3000, 36 months,16.29,3,1,RENT,52000.0,16.62,0
13725, 60 months,16.02,3,11,RENT,50000.0,9.24,1
4800, 36 months,12.85,5,10,MORTGAGE,40610.0,15.69,1
8000, 36 months,16.77,3,5,RENT,56400.0,17.02,0
2300, 36 months,14.79,4,4,RENT,30000.0,16.2,0
7500, 36 months,5.99,6,11,OWN,50000.0,21.02,0
12000, 60 months,25.89,0,8,RENT,49000.0,28.78,1
5000, 36 months,16.49,3,4,OWN,60000.0,24.5,0
4000, 36 months,5.99,6,2,RENT,35000.0,3.12,0
2000, 36 months,7.9,6,1,RENT,14000.0,23.06,0
14000, 36 months,8.9,6,3,MORTGAGE,31500.0,13.83,0
8000, 36 months,10.99,5,1,RENT,25000.0,7.87,1
15000, 36 months,14.65,4,8,MORTGAGE,70000.0,9.98,0
10800, 36 months,13.57,4,5,RENT,46000.0,2.77,1
21000, 36 months,13.68,4,11,MORTGAGE,78000.0,16.11,1
8000, 36 months,6.03,6,2,RENT,76460.0,9.51,0
6000, 36 months,14.27,4,11,RENT,32000.0,21.94,0
12000, 36 months,13.3,3,1,MORTGAGE,45000.0,4.67,1
6250, 36 months,21.0,2,11,MORTGAGE,60736.0,26.28,1
22950, 36 months,13.49,4,1,RENT,52000.0,21.83,0
8000, 60 months,6.54,6,6,RENT,30000.0,7.12,1
12000, 36 months,13.48,4,7,RENT,75000.0,8.61,1
19750, 60 months,14.33,4,10,MORTGAGE,45000.0,23.36,1
14000, 60 months,13.99,4,5,RENT,315600.0,0.98,0
20000, 36 months,13.43,2,7,MORTGAGE,145000.0,10.15,1
5750, 60 months,12.99,4,11,RENT,29120.0,16.11,1
3500, 36 months,7.9,6,4,MORTGAGE,60000.0,8.1,0
5000, 36 months,16.0,2,10,MORTGAGE,32400.0,16.3,1
1000, 36 months,11.71,5,2,RENT,100000.0,3.28,0
4500, 36 months,12.53,5,11,RENT,60000.0,1.12,1
35000, 36 months,18.55,3,11,OWN,120000.0,30.76,1
2500, 36 months,11.71,5,8,MORTGAGE,29000.0,18.7,0
17950, 36 months,11.99,5,6,MORTGAGE,113000.0,12.07,0
3000, 36 months,11.11,5,7,RENT,43000.0,1.81,1
2400, 36 months,7.9,6,5,RENT,30720.0,15.23,0
28800, 36 months,7.49,6,2,RENT,89000.0,4.27,0
1750, 36 months,9.99,5,6,RENT,9840.0,22.56,0
22250, 60 months,21.28,1,3,OWN,56000.0,21.9,1
12000, 36 months,8.9,6,11,RENT,70000.0,6.02,0
18000, 60 months,19.91,2,2,MORTGAGE,85000.0,19.06,0
10000, 36 months,17.99,2,8,RENT,54000.0,20.87,0
3000, 36 months,5.42,6,11,RENT,48000.0,14.15,0
3200, 36 months,17.93,2,6,RENT,15600.0,11.85,1
9750, 36 months,12.35,5,8,RENT,32808.0,17.37,1
28600, 60 months,22.06,1,11,MORTGAGE,60984.0,12.83,0
8000, 36 months,6.99,6,11,MORTGAGE,65000.0,15.21,0
5100, 36 months,6.03,6,11,OWN,98000.0,12.69,0
10000, 36 months,8.88,5,9,RENT,45600.0,17.0,1
14000, 36 months,11.99,5,6,RENT,104802.0,14.08,1
35000, 60 months,19.36,1,11,RENT,87929.0,19.57,1
8450, 36 months,17.76,3,3,MORTGAGE,25000.0,25.97,1
6000, 36 months,7.51,6,9,RENT,30000.0,17.56,0
30000, 36 months,14.33,4,11,MORTGAGE,164000.0,11.41,1
15000, 36 months,18.39,2,9,RENT,55200.0,19.33,0
13675, 36 months,7.49,6,2,MORTGAGE,90000.0,26.53,0
23325, 36 months,13.68,4,7,MORTGAGE,165000.0,13.43,1
1200, 36 months,10.99,5,4,MORTGAGE,65000.0,9.78,0
3000, 36 months,11.49,5,9,MORTGAGE,120000.0,18.76,0
5050, 60 months,21.67,1,11,MORTGAGE,67517.0,10.45,1
25000, 36 months,10.99,5,10,MORTGAGE,95000.0,26.19,0
8000, 60 months,20.99,1,5,RENT,72780.0,7.42,1
5225, 36 months,7.49,6,9,MORTGAGE,135000.0,13.52,1
16000, 60 months,12.23,4,6,MORTGAGE,39600.0,12.03,1
2000, 36 months,17.27,3,1,RENT,32500.0,14.14,0
17000, 60 months,18.79,2,11,MORTGAGE,52000.0,14.7,1
4800, 36 months,10.99,5,11,MORTGAGE,54600.0,14.15,0
5000, 36 months,10.99,5,1,OWN,25000.0,7.68,1
24000, 60 months,20.89,1,11,MORTGAGE,115000.0,4.01,1
17000, 36 months,11.71,5,5,RENT,70000.0,17.97,0
33950, 60 months,19.52,3,11,MORTGAGE,75697.0,9.15,1
10000, 36 months,10.99,5,1,OWN,70000.0,8.23,0
9000, 36 months,10.99,5,3,MORTGAGE,57600.0,17.31,0
7200, 36 months,20.89,1,1,MORTGAGE,88800.0,20.46,1
5250, 36 months,16.4,1,7,MORTGAGE,43000.0,22.75,1
18000, 36 months,10.95,5,5,MORTGAGE,53800.0,6.69,1
9000, 36 months,7.51,6,2,RENT,60000.0,21.37,0
13700, 36 months,6.03,6,11,MORTGAGE,50000.0,25.13,0
4925, 36 months,13.98,4,11,MORTGAGE,59000.0,20.6,1
12000, 36 months,13.67,5,8,RENT,67000.0,15.12,1
10500, 36 months,6.99,6,11,MORTGAGE,70000.0,14.14,0
18250, 36 months,8.9,6,8,MORTGAGE,63000.0,26.08,0
3200, 36 months,14.33,4,11,RENT,52000.0,5.65,1
18000, 36 months,16.29,3,3,RENT,66000.0,15.67,0
13000, 36 months,20.31,3,11,RENT,130000.0,13.52,1
7000, 36 months,12.69,5,3,MORTGAGE,84000.0,2.76,0
11000, 36 months,7.49,6,11,MORTGAGE,82500.0,12.76,0
5000, 36 months,15.7,3,2,RENT,36000.0,3.17,1
8000, 36 months,16.49,3,1,RENT,65004.0,17.22,0
10000, 36 months,6.03,6,5,MORTGAGE,50000.0,7.68,0
2700, 36 months,14.27,4,6,MORTGAGE,88500.0,11.32,0
9925, 36 months,17.56,3,5,RENT,47480.0,29.04,1
20500, 60 months,12.69,5,1,RENT,47800.0,28.32,1
15000, 60 months,14.27,4,11,RENT,40800.0,13.84,1
4000, 36 months,11.49,5,4,RENT,26400.0,17.27,1
6000, 36 months,13.35,4,1,RENT,22800.0,0.0,1
16000, 60 months,20.89,1,3,RENT,94000.0,8.04,0
3000, 60 months,13.8,4,6,RENT,10720.0,9.18,1
5000, 36 months,12.85,5,0,OWN,30000.0,10.0,1
19000, 60 months,10.99,5,11,MORTGAGE,75000.0,14.83,1
22250, 36 months,12.69,5,3,RENT,41000.0,15.63,1
7000, 36 months,10.99,5,1,MORTGAGE,145000.0,20.33,0
9200, 36 months,7.49,6,11,RENT,29000.0,21.52,1
21750, 60 months,12.42,5,1,OWN,43500.0,21.88,1
7750, 36 months,13.23,4,2,MORTGAGE,100000.0,15.9,1
9600, 36 months,13.68,4,1,MORTGAGE,90000.0,22.0,1
15000, 36 months,11.49,5,0,MORTGAGE,109000.0,22.41,0
6000, 36 months,14.27,4,2,MORTGAGE,54000.0,14.13,0
15000, 36 months,8.49,6,1,RENT,43000.0,24.39,0
12000, 60 months,11.49,5,11,MORTGAGE,55200.0,10.57,0
4800, 36 months,19.2,3,0,OWN,16992.0,5.3,1
12000, 36 months,6.62,6,9,RENT,45000.0,9.89,0
15350, 60 months,12.99,4,8,RENT,63000.0,20.17,0
6000, 60 months,17.56,2,11,OWN,53000.0,14.88,1
9425, 36 months,11.49,5,11,RENT,72800.0,14.67,0
5600, 36 months,10.65,5,7,RENT,60000.0,16.36,0
20000, 60 months,18.25,3,11,MORTGAGE,51400.0,11.49,1
1500, 36 months,10.65,5,0,MORTGAGE,70632.0,10.45,0
5000, 36 months,13.22,4,3,MORTGAGE,110000.0,15.4,1
3600, 36 months,7.51,6,10,MORTGAGE,59000.0,21.82,0
16000, 36 months,15.25,2,3,MORTGAGE,58200.0,11.48,1
22750, 60 months,12.99,4,0,MORTGAGE,43600.0,21.11,1
20000, 36 months,7.9,6,11,MORTGAGE,63000.0,18.32,0
12000, 36 months,6.03,6,11,MORTGAGE,72000.0,15.37,0
4800, 36 months,6.03,6,3,RENT,54996.0,5.89,0
5100, 36 months,11.49,5,7,MORTGAGE,60000.0,21.86,0
20000, 60 months,22.11,0,4,MORTGAGE,67000.0,20.22,1
12000, 36 months,8.9,6,10,MORTGAGE,100000.0,15.56,0
20000, 60 months,13.99,4,3,MORTGAGE,57396.0,25.78,0
15000, 60 months,16.32,2,5,MORTGAGE,100000.0,9.25,1
3600, 60 months,18.25,1,3,RENT,30000.0,9.0,1
10000, 36 months,11.14,5,4,RENT,30000.0,12.92,1
10000, 36 months,10.65,5,11,MORTGAGE,90000.0,11.16,0
12800, 60 months,17.27,3,3,RENT,46200.0,15.12,0
5750, 36 months,8.9,6,4,RENT,17000.0,11.58,0
15000, 60 months,22.4,2,11,RENT,56000.0,17.06,1
13225, 60 months,25.8,0,6,RENT,70000.0,25.77,1
16000, 60 months,15.27,4,2,MORTGAGE,55536.0,15.13,1
20800, 60 months,10.65,5,6,MORTGAGE,41000.0,14.66,0
20000, 36 months,5.99,6,11,MORTGAGE,84000.0,13.01,0
7000, 36 months,9.91,5,7,RENT,96000.0,17.07,0
12000, 36 months,16.77,3,6,RENT,68000.0,17.61,0
9750, 36 months,13.68,4,0,OWN,27950.0,28.42,1
6600, 36 months,8.9,6,6,RENT,64000.0,20.57,0
8000, 36 months,18.64,2,11,MORTGAGE,114000.0,11.36,0
14000, 36 months,7.91,6,6,RENT,45000.0,17.97,0
12000, 60 months,14.79,4,3,MORTGAGE,62000.0,18.08,0
5000, 36 months,10.65,5,4,MORTGAGE,48000.0,2.3,0
1800, 36 months,7.49,6,11,MORTGAGE,55000.0,11.3,0
2400, 36 months,8.49,6,4,RENT,22800.0,5.26,1
1825, 36 months,15.62,3,3,RENT,14400.0,10.33,0
14825, 36 months,21.15,2,3,MORTGAGE,137000.0,26.12,1
10000, 36 months,16.77,3,7,OWN,45000.0,8.43,0
11500, 36 months,8.49,6,1,OWN,24840.0,16.14,0
15000, 36 months,13.49,4,9,MORTGAGE,42000.0,7.83,0
35000, 60 months,22.4,2,2,MORTGAGE,111000.0,13.65,1
4750, 36 months,8.9,6,3,OWN,48000.0,10.07,0
3000, 36 months,7.9,6,4,OWN,18000.0,4.67,0
18000, 60 months,16.89,3,11,OWN,55454.0,17.42,1
19600, 36 months,9.91,5,4,MORTGAGE,60000.0,16.2,0
6000, 36 months,7.49,6,6,RENT,26000.0,19.06,0
10000, 36 months,23.4,2,4,RENT,48000.0,17.2,1
11500, 36 months,21.0,2,3,RENT,34000.0,10.84,1
15000, 36 months,13.99,4,7,RENT,60000.0,5.24,0
35000, 60 months,12.42,5,11,MORTGAGE,109592.0,13.72,1
3000, 60 months,19.42,2,3,RENT,33996.0,3.04,0
7200, 36 months,15.23,4,6,RENT,46000.0,23.79,0
10000, 36 months,14.3,4,10,MORTGAGE,109000.0,12.85,1
9000, 36 months,5.99,6,11,MORTGAGE,80000.0,6.31,0
16000, 36 months,13.48,4,6,OWN,300000.0,3.12,1
3200, 36 months,8.49,6,4,MORTGAGE,76200.0,13.39,0
6625, 36 months,15.61,4,1,RENT,25000.0,17.14,1
32875, 60 months,23.5,1,11,MORTGAGE,74000.0,30.16,1
29000, 60 months,11.99,5,11,MORTGAGE,150000.0,15.25,0
12800, 36 months,6.62,6,4,MORTGAGE,72000.0,8.23,0
15000, 36 months,16.35,2,6,MORTGAGE,210000.0,19.33,1
18550, 60 months,19.22,3,0,RENT,43000.0,30.06,1
20000, 60 months,16.78,4,6,RENT,90000.0,14.51,1
7200, 36 months,8.49,6,3,RENT,60000.0,6.96,0
6800, 36 months,10.65,5,1,RENT,57000.0,18.63,0
