loan_amnt,term,int_rate,credit,emp_length,home_ownership,annual_inc,purpose,dti,bad_loans
4450, 36 months,15.61,C,10+ years,MORTGAGE,50000.0,debt_consolidation,13.42,0
13900, 60 months,22.47,E,3 years,RENT,50000.0,debt_consolidation,29.9,1
9450, 36 months,14.16,C,10+ years,RENT,121429.0,credit_card,11.77,0
3500, 36 months,16.59,D,9 years,RENT,30000.0,house,26.32,0
15000, 36 months,15.81,C,6 years,RENT,44000.0,wedding,7.64,1
2400, 36 months,19.47,D,10+ years,MORTGAGE,35000.0,vacation,24.31,1
16000, 36 months,14.16,C,< 1 year,MORTGAGE,80000.0,debt_consolidation,19.28,0
5875, 36 months,15.61,D,8 years,MORTGAGE,70000.0,debt_consolidation,2.79,0
3200, 36 months,14.33,C,10+ years,MORTGAGE,40000.0,credit_card,24.15,1
20875, 36 months,15.31,C,7 years,MORTGAGE,92000.0,home_improvement,3.5,0
11500, 36 months,16.29,C,2 years,RENT,65000.0,debt_consolidation,7.29,1
8400, 36 months,14.27,C,4 years,RENT,40000.0,debt_consolidation,21.12,1
24250, 60 months,18.25,D,10+ years,RENT,50000.0,debt_consolidation,16.08,1
16000, 36 months,19.05,D,2 years,RENT,45000.0,other,10.03,1
9000, 36 months,22.45,E,9 years,MORTGAGE,33940.0,home_improvement,26.45,0
10000, 36 months,17.77,D,1 year,RENT,31000.0,credit_card,14.09,1
15000, 36 months,13.35,C,8 years,MORTGAGE,90000.0,debt_consolidation,17.07,0
17000, 60 months,17.57,D,8 years,OWN,83000.0,debt_consolidation,22.41,1
10000, 36 months,14.16,C,1 year,RENT,74300.0,debt_consolidation,2.2,0
17875, 36 months,17.57,D,< 1 year,OWN,52800.0,debt_consolidation,13.48,1
20000, 60 months,22.47,E,3 years,RENT,78000.0,credit_card,26.59,1
22525, 36 months,17.57,D,1 year,MORTGAGE,70000.0,debt_consolidation,29.33,0
9925, 36 months,11.14,B,10+ years,RENT,72500.0,car,25.92,1
7500, 36 months,15.81,C,4 years,RENT,38000.0,debt_consolidation,11.53,1
6000, 36 months,14.33,C,< 1 year,RENT,31200.0,debt_consolidation,25.42,1
5000, 60 months,19.47,D,7 years,OWN,35000.0,major_purchase,16.39,0
25000, 60 months,14.98,C,5 years,MORTGAGE,78500.0,credit_card,29.29,0
30000, 60 months,15.61,C,6 years,MORTGAGE,86000.0,debt_consolidation,20.26,0
11000, 36 months,13.35,C,6 years,RENT,56000.0,debt_consolidation,18.95,0
14000, 36 months,13.65,C,10+ years,RENT,54000.0,debt_consolidation,13.16,0
16000, 36 months,10.74,B,10+ years,RENT,50000.0,debt_consolidation,13.3,1
20500, 60 months,16.24,C,10+ years,MORTGAGE,84353.0,debt_consolidation,4.41,0
20000, 36 months,12.99,B,10+ years,MORTGAGE,70000.0,debt_consolidation,25.89,1
16450, 36 months,18.25,D,10+ years,RENT,33000.0,debt_consolidation,33.71,1
7375, 36 months,14.64,C,3 years,RENT,67200.0,debt_consolidation,3.71,1
2400, 36 months,17.57,D,10+ years,RENT,45000.0,debt_consolidation,15.47,0
22000, 60 months,10.99,B,9 years,MORTGAGE,77439.0,credit_card,15.56,0
26400, 60 months,19.97,D,10+ years,MORTGAGE,125000.0,credit_card,11.43,1
20000, 60 months,14.47,C,1 year,MORTGAGE,90200.0,debt_consolidation,22.13,0
4550, 36 months,12.99,C,10+ years,MORTGAGE,105000.0,other,16.1,0
5700, 36 months,15.8,C,8 years,MORTGAGE,33000.0,debt_consolidation,27.39,1
18000, 60 months,15.31,C,10+ years,RENT,63102.0,debt_consolidation,4.93,1
30000, 60 months,23.76,F,2 years,MORTGAGE,100000.0,debt_consolidation,15.85,1
10000, 60 months,14.64,C,10+ years,MORTGAGE,140000.0,debt_consolidation,12.29,0
30000, 36 months,12.99,C,3 years,RENT,131580.0,debt_consolidation,11.14,0
8500, 60 months,17.57,D,10+ years,OWN,90000.0,home_improvement,8.57,0
10975, 60 months,19.47,D,8 years,MORTGAGE,51000.0,debt_consolidation,29.23,1
17625, 60 months,18.75,D,10+ years,MORTGAGE,45000.0,debt_consolidation,6.45,1
17050, 36 months,17.27,C,10+ years,MORTGAGE,62000.0,debt_consolidation,16.28,1
3500, 36 months,12.99,B,10+ years,OWN,130000.0,home_improvement,7.87,0
14000, 60 months,17.57,D,< 1 year,RENT,40000.0,debt_consolidation,9.96,0
4450, 36 months,18.92,D,5 years,RENT,24000.0,debt_consolidation,17.45,1
6000, 36 months,9.67,B,1 year,RENT,70000.0,debt_consolidation,8.35,1
15000, 36 months,11.14,B,2 years,RENT,102000.0,debt_consolidation,27.74,1
6800, 36 months,14.64,C,1 year,MORTGAGE,41100.0,debt_consolidation,28.15,0
20000, 60 months,15.8,C,5 years,MORTGAGE,96000.0,debt_consolidation,17.09,1
17000, 60 months,22.95,F,10+ years,MORTGAGE,40000.0,credit_card,24.18,1
7125, 36 months,16.24,C,5 years,MORTGAGE,30000.0,debt_consolidation,20.48,1
10650, 60 months,18.25,D,7 years,MORTGAGE,50000.0,debt_consolidation,13.73,1
10000, 36 months,13.35,C,3 years,MORTGAGE,60000.0,credit_card,18.88,0
19075, 60 months,19.47,D,10+ years,MORTGAGE,47800.0,debt_consolidation,16.17,0
11200, 36 months,14.47,C,4 years,RENT,72000.0,other,27.43,0
22700, 36 months,18.92,D,1 year,OWN,95000.0,debt_consolidation,20.0,0
7500, 36 months,12.49,B,1 year,MORTGAGE,65000.0,debt_consolidation,18.02,0
6000, 36 months,9.67,B,< 1 year,MORTGAGE,70000.0,credit_card,10.56,0
25000, 36 months,12.99,B,10+ years,MORTGAGE,108932.0,debt_consolidation,13.83,0
17000, 36 months,10.99,B,7 years,RENT,65000.0,debt_consolidation,20.81,0
10625, 36 months,22.45,E,10+ years,RENT,49450.0,debt_consolidation,20.97,1
12300, 36 months,15.31,C,10+ years,MORTGAGE,60000.0,debt_consolidation,19.26,1
25000, 60 months,16.24,C,10+ years,MORTGAGE,108000.0,credit_card,21.91,0
10000, 36 months,14.27,C,< 1 year,MORTGAGE,54000.0,debt_consolidation,13.27,1
11500, 36 months,12.12,B,3 years,MORTGAGE,55000.0,home_improvement,13.79,1
12000, 36 months,13.98,C,< 1 year,RENT,100000.0,credit_card,9.26,0
32875, 36 months,19.05,D,6 years,MORTGAGE,74000.0,debt_consolidation,26.84,1
15000, 36 months,13.67,B,10+ years,MORTGAGE,90300.0,debt_consolidation,21.99,1
18000, 60 months,20.5,E,8 years,MORTGAGE,64480.0,debt_consolidation,33.87,0
15850, 36 months,16.29,C,10+ years,MORTGAGE,48000.0,debt_consolidation,14.85,1
8000, 36 months,6.62,A,10+ years,MORTGAGE,120000.0,home_improvement,14.19,0
12000, 36 months,14.33,C,10+ years,RENT,44000.0,credit_card,12.35,1
5600, 36 months,14.47,C,1 year,OWN,20000.0,debt_consolidation,10.62,1
20000, 60 months,16.29,C,3 years,MORTGAGE,72000.0,credit_card,12.23,1
11000, 36 months,11.99,B,2 years,MORTGAGE,106000.0,debt_consolidation,14.81,0
9875, 36 months,24.5,F,5 years,RENT,45000.0,debt_consolidation,7.57,1
17500, 60 months,19.99,E,9 years,MORTGAGE,48375.0,credit_card,29.03,1
16300, 60 months,14.16,C,10+ years,MORTGAGE,59103.0,debt_consolidation,18.88,0
7750, 36 months,13.67,B,3 years,MORTGAGE,55000.0,debt_consolidation,4.08,1
20000, 36 months,17.57,D,4 years,MORTGAGE,85000.0,debt_consolidation,19.24,0
16000, 60 months,14.98,C,10+ years,MORTGAGE,90000.0,credit_card,3.63,1
35000, 60 months,16.29,D,2 years,OWN,86000.0,debt_consolidation,12.62,0
21000, 36 months,7.9,A,10+ years,MORTGAGE,70000.0,credit_card,7.18,0
8000, 36 months,11.71,B,10+ years,MORTGAGE,45000.0,debt_consolidation,24.69,1
35000, 36 months,16.24,C,10+ years,MORTGAGE,93000.0,debt_consolidation,13.2,0
26000, 36 months,13.35,C,3 years,MORTGAGE,92000.0,debt_consolidation,19.58,0
25000, 60 months,17.57,D,10+ years,MORTGAGE,84000.0,debt_consolidation,19.26,0
8525, 60 months,18.25,D,5 years,MORTGAGE,37536.0,medical,12.28,1
13000, 60 months,15.61,D,10+ years,MORTGAGE,97000.0,debt_consolidation,25.23,0
9050, 36 months,14.49,C,4 years,RENT,34793.0,other,29.87,1
28000, 60 months,15.61,C,3 years,MORTGAGE,64000.0,debt_consolidation,13.58,0
22800, 60 months,17.27,C,9 years,RENT,51000.0,house,20.61,1
12800, 36 months,7.9,A,6 years,RENT,67000.0,credit_card,17.78,1
14200, 36 months,12.49,B,7 years,RENT,50000.0,debt_consolidation,16.05,0
12000, 36 months,10.99,B,5 years,OWN,50000.0,credit_card,26.96,0
6000, 36 months,6.03,A,8 years,RENT,60000.0,credit_card,9.34,0
13000, 36 months,7.9,A,10+ years,MORTGAGE,67000.0,debt_consolidation,11.28,0
18075, 36 months,14.99,C,< 1 year,MORTGAGE,80000.0,other,8.85,0
7500, 36 months,15.8,C,3 years,RENT,38650.0,debt_consolidation,9.81,1
24000, 60 months,15.31,C,2 years,MORTGAGE,175000.0,major_purchase,22.62,1
5000, 36 months,14.65,C,< 1 year,RENT,14500.0,credit_card,8.74,1
14000, 36 months,12.99,C,10+ years,MORTGAGE,65000.0,debt_consolidation,29.78,0
12000, 36 months,11.99,B,7 years,MORTGAGE,62400.0,debt_consolidation,34.81,1
8500, 36 months,15.31,C,10+ years,MORTGAGE,79000.0,debt_consolidation,20.23,0
4000, 36 months,17.27,D,1 year,RENT,27000.0,debt_consolidation,11.39,1
20800, 60 months,19.05,D,1 year,RENT,50000.0,debt_consolidation,30.35,1
20000, 60 months,22.47,E,6 years,OWN,75000.0,debt_consolidation,12.78,1
10000, 36 months,14.65,C,2 years,RENT,81600.0,credit_card,9.37,1
15000, 60 months,19.97,D,7 years,RENT,194000.0,debt_consolidation,7.28,1
35000, 60 months,16.59,D,10+ years,OWN,158000.0,home_improvement,13.92,1
3000, 60 months,10.74,B,< 1 year,RENT,42000.0,major_purchase,11.63,1
27200, 36 months,15.61,C,10+ years,MORTGAGE,98893.0,debt_consolidation,14.16,0
16150, 60 months,21.98,E,6 years,MORTGAGE,72000.0,debt_consolidation,13.52,1
17325, 36 months,19.05,D,10+ years,RENT,45000.0,debt_consolidation,34.05,1
35000, 36 months,15.8,C,< 1 year,MORTGAGE,400000.0,credit_card,5.39,1
35000, 36 months,16.29,C,10+ years,MORTGAGE,160000.0,debt_consolidation,16.17,1
12550, 60 months,19.47,D,10+ years,MORTGAGE,80000.0,credit_card,15.63,1
8000, 36 months,15.31,C,2 years,RENT,100000.0,debt_consolidation,7.87,0
10000, 36 months,13.11,B,4 years,RENT,108000.0,debt_consolidation,11.6,1
18000, 60 months,19.05,D,10+ years,MORTGAGE,94400.0,credit_card,9.45,1
7750, 36 months,16.29,C,7 years,RENT,50000.0,debt_consolidation,23.78,1
19400, 60 months,23.28,F,6 years,RENT,54000.0,debt_consolidation,25.77,1
5500, 36 months,14.47,C,7 years,MORTGAGE,41000.0,debt_consolidation,22.92,0
8000, 36 months,16.29,C,3 years,RENT,125000.0,vacation,22.31,1
15000, 36 months,16.29,C,< 1 year,RENT,42500.0,debt_consolidation,15.02,1
7000, 36 months,9.67,B,3 years,RENT,20000.0,credit_card,25.87,0
28500, 60 months,17.57,D,5 years,MORTGAGE,65000.0,debt_consolidation,26.27,1
12000, 36 months,15.31,C,6 years,MORTGAGE,70000.0,debt_consolidation,12.34,0
13475, 36 months,15.8,C,8 years,MORTGAGE,70000.0,debt_consolidation,28.55,1
17500, 60 months,18.64,E,4 years,RENT,35000.0,credit_card,19.78,1
15000, 36 months,8.39,A,10+ years,RENT,84000.0,debt_consolidation,18.89,0
10000, 36 months,10.16,B,10+ years,RENT,41000.0,debt_consolidation,31.64,1
18000, 60 months,17.27,C,3 years,MORTGAGE,59000.0,credit_card,7.08,1
10000, 36 months,9.67,B,10+ years,MORTGAGE,63000.0,debt_consolidation,26.63,0
10000, 36 months,16.29,D,4 years,MORTGAGE,40000.0,debt_consolidation,19.41,1
10075, 36 months,15.61,C,< 1 year,MORTGAGE,180000.0,debt_consolidation,1.38,0
9500, 36 months,14.09,B,7 years,RENT,65000.0,debt_consolidation,17.98,1
15000, 36 months,7.62,A,5 years,RENT,143000.0,credit_card,18.72,0
7875, 60 months,17.77,D,10+ years,MORTGAGE,63000.0,debt_consolidation,22.67,1
17050, 36 months,15.31,C,3 years,RENT,35000.0,credit_card,18.07,1
4000, 36 months,12.49,B,3 years,MORTGAGE,72000.0,major_purchase,19.96,0
17475, 60 months,19.91,E,6 years,RENT,43000.0,house,17.44,1
2000, 36 months,14.64,C,4 years,MORTGAGE,55000.0,vacation,13.35,0
8000, 36 months,15.31,C,5 years,OWN,27000.0,debt_consolidation,16.36,1
4950, 36 months,14.33,C,6 years,OWN,35000.0,debt_consolidation,8.95,1
11100, 36 months,17.57,D,1 year,MORTGAGE,110000.0,debt_consolidation,9.57,0
4200, 36 months,10.99,B,3 years,MORTGAGE,70000.0,debt_consolidation,19.96,0
4000, 36 months,12.85,B,10+ years,OWN,21000.0,debt_consolidation,7.75,1
30000, 60 months,23.28,F,3 years,MORTGAGE,98092.0,debt_consolidation,20.08,1
24000, 60 months,15.61,D,9 years,MORTGAGE,69000.0,debt_consolidation,22.56,0
17200, 60 months,15.61,C,10+ years,MORTGAGE,41000.0,debt_consolidation,13.47,0
25000, 60 months,24.99,F,9 years,RENT,67000.0,major_purchase,1.83,1
5000, 36 months,16.29,C,5 years,RENT,45000.0,medical,17.32,1
18425, 60 months,18.92,D,3 years,RENT,41000.0,credit_card,29.74,0
24000, 60 months,15.8,C,< 1 year,MORTGAGE,80000.0,other,16.96,1
17000, 36 months,15.81,C,6 years,RENT,46000.0,debt_consolidation,17.01,1
3925, 36 months,15.31,C,10+ years,RENT,40000.0,house,12.3,1
9000, 36 months,10.99,B,10+ years,MORTGAGE,45000.0,debt_consolidation,10.99,0
24500, 36 months,7.9,A,10+ years,OWN,124000.0,credit_card,9.54,0
4125, 36 months,21.18,E,10+ years,MORTGAGE,30472.0,other,17.37,0
18000, 36 months,16.29,C,10+ years,RENT,55000.0,debt_consolidation,30.7,1
26750, 60 months,19.22,D,10+ years,RENT,80000.0,debt_consolidation,24.11,1
15750, 60 months,18.92,D,1 year,OWN,36000.0,credit_card,6.87,0
30000, 60 months,21.49,E,10+ years,MORTGAGE,100000.0,credit_card,21.18,1
15000, 36 months,17.57,D,10+ years,RENT,125000.0,debt_consolidation,4.9,0
16000, 60 months,16.59,D,8 years,OWN,74000.0,debt_consolidation,21.39,0
14400, 36 months,17.27,C,9 years,RENT,48000.0,debt_consolidation,22.8,1
23000, 60 months,14.47,C,5 years,RENT,60100.0,debt_consolidation,23.54,0
22000, 36 months,8.9,A,2 years,OWN,95000.0,home_improvement,25.78,0
12000, 36 months,7.51,A,2 years,RENT,35000.0,debt_consolidation,15.15,1
5000, 36 months,14.09,B,10+ years,MORTGAGE,48000.0,credit_card,23.58,1
10000, 36 months,8.9,A,10+ years,MORTGAGE,95000.0,debt_consolidation,26.72,0
5950, 36 months,16.59,D,10+ years,MORTGAGE,50000.0,debt_consolidation,13.15,0
20000, 36 months,11.14,B,6 years,MORTGAGE,65000.0,debt_consolidation,9.18,1
11875, 36 months,10.16,B,< 1 year,MORTGAGE,66000.0,debt_consolidation,28.2,1
22000, 36 months,13.65,C,4 years,RENT,60000.0,debt_consolidation,15.98,0
30000, 60 months,24.76,G,6 years,RENT,105000.0,debt_consolidation,14.21,1
10400, 60 months,16.29,D,10+ years,MORTGAGE,45000.0,debt_consolidation,21.71,0
21200, 60 months,19.05,D,10+ years,MORTGAGE,60000.0,credit_card,20.54,1
11500, 36 months,16.29,C,1 year,RENT,34000.0,debt_consolidation,30.42,1
5600, 36 months,12.99,B,10+ years,MORTGAGE,123000.0,other,7.23,0
16900, 60 months,24.5,F,8 years,RENT,65000.0,debt_consolidation,22.43,0
12000, 36 months,6.62,A,6 years,RENT,53000.0,debt_consolidation,23.51,1
30000, 60 months,16.59,D,1 year,MORTGAGE,81200.0,debt_consolidation,9.67,0
35000, 36 months,21.99,E,9 years,MORTGAGE,123000.0,debt_consolidation,27.65,0
10000, 36 months,7.9,A,5 years,MORTGAGE,60000.0,debt_consolidation,17.7,1
9600, 36 months,10.16,B,7 years,MORTGAGE,80860.0,credit_card,14.17,1
10000, 36 months,8.9,A,6 years,RENT,52000.0,debt_consolidation,13.57,1
23800, 60 months,12.85,B,10+ years,MORTGAGE,54000.0,home_improvement,1.71,0
16950, 60 months,21.98,E,7 years,MORTGAGE,38000.0,debt_consolidation,20.72,1
16000, 60 months,20.49,E,3 years,RENT,240000.0,other,14.88,1
7200, 36 months,9.67,B,10+ years,RENT,40000.0,debt_consolidation,23.53,0
5000, 36 months,18.25,D,2 years,RENT,121000.0,other,14.01,0
17500, 36 months,16.24,C,6 years,MORTGAGE,84100.0,debt_consolidation,14.41,0
8000, 36 months,15.31,C,1 year,MORTGAGE,84000.0,other,3.7,0
5200, 36 months,19.22,D,2 years,RENT,34000.0,credit_card,14.96,1
5925, 36 months,12.99,C,10+ years,RENT,36000.0,credit_card,13.97,0
3600, 36 months,10.99,B,< 1 year,RENT,27000.0,credit_card,5.73,0
19750, 60 months,16.59,D,10+ years,MORTGAGE,45000.0,debt_consolidation,10.91,0
12000, 36 months,8.9,A,10+ years,MORTGAGE,70000.0,debt_consolidation,10.68,0
8225, 36 months,15.31,C,10+ years,MORTGAGE,80000.0,debt_consolidation,4.64,0
8850, 36 months,9.67,B,10+ years,MORTGAGE,91224.0,debt_consolidation,9.01,0
18000, 60 months,21.99,E,< 1 year,OWN,50000.0,debt_consolidation,33.85,1
8000, 36 months,14.16,C,10+ years,RENT,60744.0,credit_card,11.93,0
12050, 60 months,25.57,F,8 years,MORTGAGE,45000.0,debt_consolidation,27.17,1
20000, 60 months,18.49,D,6 years,MORTGAGE,126000.0,debt_consolidation,16.05,1
12000, 36 months,12.85,B,5 years,MORTGAGE,60000.0,debt_consolidation,21.4,1
25000, 60 months,14.65,C,10+ years,MORTGAGE,72000.0,debt_consolidation,27.7,1
17750, 36 months,17.27,D,3 years,MORTGAGE,82000.0,debt_consolidation,21.19,1
22000, 60 months,12.99,C,10+ years,MORTGAGE,58000.0,credit_card,10.61,0
30000, 60 months,21.28,F,3 years,RENT,61000.0,credit_card,21.96,1
13425, 36 months,14.64,C,< 1 year,RENT,80000.0,debt_consolidation,26.03,0
6500, 36 months,14.09,B,2 years,RENT,40000.0,debt_consolidation,23.85,1
7900, 36 months,12.49,B,10+ years,MORTGAGE,75000.0,debt_consolidation,23.57,0
18000, 36 months,21.49,E,4 years,MORTGAGE,78000.0,debt_consolidation,23.43,1
7800, 36 months,8.9,A,6 years,MORTGAGE,55000.0,debt_consolidation,19.44,1
6000, 60 months,13.67,B,3 years,RENT,40000.0,major_purchase,23.74,1
15000, 36 months,7.9,A,10+ years,MORTGAGE,62000.0,debt_consolidation,19.74,0
17600, 60 months,22.47,E,6 years,RENT,50000.0,debt_consolidation,14.59,1
7925, 36 months,14.33,C,7 years,MORTGAGE,45000.0,debt_consolidation,4.24,1
25000, 36 months,12.99,C,4 years,OWN,100000.0,debt_consolidation,12.7,0
6000, 36 months,15.31,C,10+ years,RENT,92000.0,debt_consolidation,16.25,1
10000, 36 months,12.12,B,1 year,MORTGAGE,88000.0,debt_consolidation,26.29,1
15000, 36 months,12.49,B,2 years,RENT,86000.0,debt_consolidation,10.72,0
16125, 36 months,13.35,C,8 years,MORTGAGE,85000.0,debt_consolidation,27.23,0
21250, 60 months,22.95,F,10+ years,MORTGAGE,65000.0,debt_consolidation,29.02,1
10000, 36 months,11.71,B,3 years,RENT,30000.0,credit_card,12.28,1
32325, 60 months,19.22,D,4 years,RENT,94568.0,debt_consolidation,13.07,0
8400, 36 months,15.81,C,< 1 year,RENT,38400.0,wedding,19.64,1
8950, 36 months,12.49,B,7 years,MORTGAGE,45000.0,debt_consolidation,25.73,0
12000, 36 months,12.85,B,10+ years,MORTGAGE,77000.0,debt_consolidation,17.05,0
35000, 60 months,20.49,E,2 years,RENT,109500.0,debt_consolidation,17.18,1
8225, 36 months,24.5,F,8 years,MORTGAGE,105000.0,medical,5.14,0
16000, 60 months,14.16,C,3 years,MORTGAGE,105000.0,debt_consolidation,13.39,0
5000, 36 months,6.62,A,2 years,MORTGAGE,74000.0,credit_card,3.24,0
3500, 36 months,9.76,B,10+ years,MORTGAGE,30000.0,home_improvement,10.38,1
15000, 36 months,14.65,C,3 years,MORTGAGE,30000.0,credit_card,22.66,1
10000, 36 months,14.98,C,9 years,MORTGAGE,68000.0,debt_consolidation,10.17,0
28000, 60 months,24.5,F,7 years,OWN,240000.0,debt_consolidation,23.61,0
22000, 36 months,6.03,A,3 years,MORTGAGE,140000.0,home_improvement,8.79,0
11050, 36 months,14.47,C,10+ years,MORTGAGE,55400.0,debt_consolidation,30.52,0
10500, 36 months,8.9,A,< 1 year,RENT,55000.0,debt_consolidation,25.27,0
6575, 36 months,8.9,A,10+ years,RENT,17600.0,debt_consolidation,10.77,1
8475, 36 months,14.47,C,3 years,RENT,51000.0,debt_consolidation,12.92,0
9250, 36 months,15.61,C,2 years,MORTGAGE,40000.0,credit_card,25.74,1
14825, 36 months,16.29,C,1 year,RENT,68500.0,debt_consolidation,20.55,1
19200, 36 months,10.16,B,4 years,MORTGAGE,94800.0,debt_consolidation,21.32,1
8325, 36 months,14.33,C,7 years,OWN,25000.0,debt_consolidation,17.28,1
16000, 60 months,22.95,F,10+ years,MORTGAGE,45000.0,debt_consolidation,18.35,1
12000, 36 months,16.59,D,6 years,MORTGAGE,40000.0,debt_consolidation,31.68,1
8000, 36 months,18.75,D,< 1 year,RENT,35000.0,debt_consolidation,8.91,1
35000, 60 months,22.45,E,2 years,RENT,152000.0,other,11.06,0
10000, 36 months,10.15,B,2 years,MORTGAGE,48000.0,debt_consolidation,24.0,0
7200, 36 months,16.59,D,8 years,MORTGAGE,40000.0,home_improvement,29.6,1
21200, 36 months,16.29,C,6 years,MORTGAGE,53448.0,debt_consolidation,32.8,1
25000, 60 months,18.64,E,10+ years,RENT,60000.0,debt_consolidation,20.48,1
10200, 36 months,20.2,E,< 1 year,RENT,30000.0,debt_consolidation,27.4,1
8000, 36 months,10.15,B,10+ years,MORTGAGE,85000.0,home_improvement,16.43,0
